,Filename,text,language
0,hin_0001.wav,aapke Hindi Pasand karne per Khushi Hui,hindi
0,hin_0002.wav,Sath hi main Lekh per Kuchh badlav Kiye Hain aap ki tippani Mile To Achcha rahega,hindi
0,hin_0003.wav,aap se Apeksha hai ki Bhavishya Mein is Prakar ke aur bhi le kahan se prapt Honge,hindi
0,hin_0004.wav,Unka Rachit Kavya sangrah Hriday Ganga Nav bhasha mein prakashit ho chuka hai,hindi
0,hin_0005.wav,aajkal nimnalikhit prashnon per kam kar raha hun,hindi
0,hin_0006.wav,Sharir Mein Pitt Agni ka Pratinidhi hai,hindi
0,hin_0007.wav,unke Vishal lekhan Karya ka sahityik aur European Darshan per grahan Prabhav pada hai,hindi
0,hin_0008.wav,is Lekh per Magar Kafi baten Aisi Jinka Praman Lekh per Diya jana avashyak hai,hindi
0,hin_0009.wav,perimeter Shakal De hi,hindi
0,hin_0010.wav,Hui hi Kaju Mohi Harsh Vishesh e,hindi
0,hin_0011.wav,Panch tatva Hai Mitti Aakash Jal Agni aur Vayu,hindi
0,hin_0012.wav,yah likh Delhi ka Lal Kila ke bare mein hai,hindi
0,hin_0013.wav,to yogdan Karne Walon Ko Jo Sahi samajh mein aata hai likh diya jata hai,hindi
0,hin_0014.wav,Dr Patel aapke Holi se sambandhit Le Ke Liye dhanyvad,hindi
0,hin_0015.wav,Sang AVN rajyon se sambandhit vishayon Ka Faisla Uchch nyayalay dwara Kiya jata hai,hindi
0,hin_0016.wav,Australia ke Kale ke liye khojen,hindi
0,hin_0017.wav,main Paryatan bhugol per aapka Lekh padha bahut Achcha Lekh hai,hindi
0,hin_0018.wav,Urja ke strot ke liye khojen,hindi
0,hin_0019.wav,kamal bharatvarsh ka rashtriy Pushp hai,hindi
0,hin_0020.wav,yah Asia Ki Sabse Badi awasiya Colony kahlati hai,hindi
0,hin_0021.wav,Ek Manav Kriya ke roop Mein yah Vigyan aur abhiyantriki se puratan hai,hindi
0,hin_0022.wav,Rajya Ka Nirman Kai varsh ke Aandolan ke paschat vah,hindi
0,hin_0023.wav,Guru Sikh De Rai per Hi Gaya,hindi
0,hin_0024.wav,Mujhe nirantar ki jankari acchi lagi,hindi
0,hin_0025.wav,Purnima ji dhanyvad sujhav ke liye,hindi
0,hin_0026.wav,Wikipedia sadasya Shyam aur Wikipedia ke naam sadasya ke Karya ke anusar,hindi
0,hin_0027.wav,Jamshedpur Se prakashit Hindi Dainik,hindi
0,hin_0028.wav,Bheem ulta Kabhi aur Shayar Hai,hindi
0,hin_0029.wav,Iske Badle Mein Tum Kuchh aur Mang lo,hindi
0,hin_0030.wav,Ras Singar tha aur Bhasha Thi Bridge,hindi
0,hin_0031.wav,Braj Kala AVN Sanskriti,hindi
0,hin_0032.wav,Prachin kal Mein Rishi Muni Bhagwan ka Dhyan Karte The,hindi
0,hin_0033.wav,Dhan ka Arth Hota Hai dravya,hindi
0,hin_0034.wav,Gagan ka Arth Hai Aakash,hindi
0,hin_0035.wav,Ek Teesra Naam Hindustan utpati Fasi ya hinduon ki Bhumi,hindi
0,hin_0036.wav,Inka aakarshan Hai Khas stml,hindi
0,hin_0037.wav,Shri Krishna Pandav Sabhi Gaye bhishm ke pass,hindi
0,hin_0038.wav,Himalaya per baisa yah Desh chinh,hindi
0,hin_0039.wav,Pratham Samanya AVN ditiya Vishesh,hindi
0,hin_0040.wav,Priti ka Arth hota hai Nirman,hindi
0,hin_0041.wav,Wiki Yatra se Kendriya freaky ganarajya Hetu Yatra guide,hindi
0,hin_0042.wav,Hawai prant ka ek Dweep,hindi
